Age,Gender,Race,Marital Status,Education,Native Country,Work Class,Salary Class,Occupation
70-79,Female,*,Single,Level-1,Country 22,Level-1,<=50K,Occupation 28
10-19,Female,*,Single,Level-1,Country 1,Level-1,<=50K,Occupation 20
30-39,Male,*,Single,Level-1,Country 23,Level-1,<=50K,Occupation 40
30-39,Male,*,Single,,Country 37,Level-1,<=50K,Occupation 11
40-49,Male,*,Single,Level-1,Country 23,Level-1,<=50K,Occupation 3
80-89,Male,*,Single,Level-1,Country 9,Level-1,>50K,Occupation 24
60-69,Female,*,Single,Level-1,Country 32,Level-1,>50K,Occupation 26
80-89,Female,*,Single,Level-1,Country 41,Level-1,>50K,Occupation 5
80-89,Male,*,Single,Level-1,Country 1,Level-1,<=50K,Occupation 31
80-89,Female,*,Single,Level-1,Country 34,Level-1,>50K,Occupation 7
30-39,Female,*,Single,Level-1,Country 40,Level-1,<=50K,Occupation 18
80-89,Female,*,Single,Level-1,Country 13,Level-1,>50K,Occupation 40
40-49,Male,*,Single,Level-1,Country 28,Level-1,>50K,Occupation 39
90-99,Male,*,Single,Level-1,Country 22,Level-1,<=50K,Occupation 6
80-89,Female,*,Single,Level-1,Country 3,Level-1,>50K,Occupation 36
30-39,Male,*,Single,Level-1,Country 25,Level-1,>50K,Occupation 24
20-29,Female,*,Single,,Country 19,Level-1,>50K,Occupation 27
80-89,Female,*,Single,Level-1,Country 31,Level-1,<=50K,Occupation 7
20-29,Female,*,Single,,Country 8,Level-1,>50K,Occupation 13
50-59,Female,*,Single,,Country 25,Level-1,>50K,Occupation 32
70-79,Male,*,Single,Level-1,Country 37,Level-1,>50K,Occupation 41
10-19,Female,*,Single,Level-1,Country 39,Level-1,>50K,Occupation 30
80-89,Male,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 10
30-39,Male,*,Single,,Country 2,Level-1,<=50K,Occupation 16
60-69,Female,*,Single,Level-1,Country 28,Level-1,>50K,Occupation 28
70-79,Female,*,Single,Level-1,Country 40,Level-1,>50K,Occupation 27
80-89,Female,*,Single,,Country 28,Level-1,>50K,Occupation 23
60-69,Male,*,Single,Level-1,Country 19,Level-1,>50K,Occupation 1
40-49,Male,*,Single,Level-1,Country 11,Level-1,<=50K,Occupation 30
70-79,Female,*,Single,Level-1,Country 30,Level-1,>50K,Occupation 22
60-69,Male,*,Single,Level-1,Country 23,Level-1,>50K,Occupation 8
50-59,Female,*,Single,,Country 5,Level-1,>50K,Occupation 23
70-79,Female,*,Single,Level-1,Country 23,Level-1,<=50K,Occupation 3
40-49,Female,*,Single,Level-1,Country 15,Level-1,>50K,Occupation 29
60-69,Male,*,Single,Level-1,Country 18,Level-1,<=50K,Occupation 16
70-79,Female,*,Single,Level-1,Country 7,Level-1,>50K,Occupation 14
80-89,Male,*,Single,,Country 31,Level-1,<=50K,Occupation 27
30-39,Female,*,Single,Level-1,Country 26,Level-1,<=50K,Occupation 20
30-39,Female,*,Single,Level-1,Country 34,Level-1,<=50K,Occupation 37
90-99,Male,*,Single,Level-1,Country 26,Level-1,>50K,Occupation 27
50-59,Female,*,Single,Level-1,Country 21,Level-1,>50K,Occupation 6
80-89,Male,*,Single,Level-1,Country 18,Level-1,<=50K,Occupation 18
30-39,Male,*,Single,Level-1,Country 29,Level-1,>50K,Occupation 15
20-29,Male,*,Single,Level-1,Country 4,Level-1,<=50K,Occupation 7
80-89,Female,*,Single,Level-1,Country 12,Level-1,>50K,Occupation 24
40-49,Male,*,Single,Level-1,Country 35,Level-1,>50K,Occupation 12
60-69,Male,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 34
40-49,Male,*,Single,Level-1,Country 29,Level-1,<=50K,Occupation 40
90-99,Male,*,Single,Level-1,Country 15,Level-1,<=50K,Occupation 3
50-59,Male,*,Single,Level-1,Country 34,Level-1,>50K,Occupation 3
30-39,Female,*,Single,Level-1,Country 21,Level-1,<=50K,Occupation 37
20-29,Male,*,Single,Level-1,Country 32,Level-1,>50K,Occupation 33
40-49,Female,*,Single,Level-1,Country 35,Level-1,<=50K,Occupation 11
60-69,Male,*,Single,Level-1,Country 19,Level-1,<=50K,Occupation 19
60-69,Female,*,Single,Level-1,Country 30,Level-1,<=50K,Occupation 41
60-69,Male,*,Single,Level-1,Country 26,Level-1,<=50K,Occupation 21
30-39,Female,*,Single,Level-1,Country 19,Level-1,>50K,Occupation 38
20-29,Male,*,Single,Level-1,Country 14,Level-1,>50K,Occupation 29
20-29,Female,*,Single,Level-1,Country 16,Level-1,<=50K,Occupation 29
60-69,Female,*,Single,,Country 21,Level-1,<=50K,Occupation 12
30-39,Female,*,Single,Level-1,Country 29,Level-1,<=50K,Occupation 18
20-29,Male,*,Single,Level-1,Country 7,Level-1,<=50K,Occupation 38
50-59,Male,*,Single,Level-1,Country 11,Level-1,<=50K,Occupation 13
70-79,Male,*,Single,,Country 34,Level-1,<=50K,Occupation 16
70-79,Male,*,Single,Level-1,Country 4,Level-1,>50K,Occupation 8
60-69,Male,*,Single,Level-1,Country 5,Level-1,>50K,Occupation 25
80-89,Male,*,Single,,Country 16,Level-1,<=50K,Occupation 30
40-49,Female,*,Single,,Country 38,Level-1,<=50K,Occupation 34
60-69,Male,*,Single,Level-1,Country 21,Level-1,>50K,Occupation 36
30-39,Male,*,Single,Level-1,Country 13,Level-1,<=50K,Occupation 29
40-49,Male,*,Single,Level-1,Country 14,Level-1,<=50K,Occupation 18
50-59,Male,*,Single,,Country 30,Level-1,>50K,Occupation 14
40-49,Male,*,Single,Level-1,Country 11,Level-1,>50K,Occupation 31
40-49,Female,*,Single,Level-1,Country 20,Level-1,>50K,Occupation 37
80-89,Female,*,Single,Level-1,Country 8,Level-1,<=50K,Occupation 4
30-39,Male,*,Single,Level-1,Country 20,Level-1,>50K,Occupation 22
60-69,Male,*,Single,,Country 5,Level-1,<=50K,Occupation 26
70-79,Female,*,Single,,Country 15,Level-1,<=50K,Occupation 20
20-29,Male,*,Single,Level-1,Country 15,Level-1,>50K,Occupation 35
70-79,Female,*,Single,,Country 5,Level-1,<=50K,Occupation 24
80-89,Male,*,Single,Level-1,Country 26,Level-1,>50K,Occupation 31
50-59,Male,*,Single,,Country 2,Level-1,>50K,Occupation 12
20-29,Male,*,Single,Level-1,Country 26,Level-1,>50K,Occupation 21
70-79,Male,*,Single,Level-1,Country 30,Level-1,>50K,Occupation 27
80-89,Male,*,Single,Level-1,Country 16,Level-1,>50K,Occupation 31
20-29,Male,*,Single,Level-1,Country 35,Level-1,<=50K,Occupation 23
50-59,Male,*,Single,Level-1,Country 16,Level-1,<=50K,Occupation 10
50-59,Male,*,Single,Level-1,Country 1,Level-1,<=50K,Occupation 28
30-39,Male,*,Single,Level-1,Country 31,Level-1,>50K,Occupation 21
50-59,Male,*,Single,Level-1,Country 5,Level-1,>50K,Occupation 5
30-39,Male,*,Single,Level-1,Country 27,Level-1,>50K,Occupation 31
60-69,Male,*,Single,Level-1,Country 23,Level-1,<=50K,Occupation 10
50-59,Male,*,Single,Level-1,Country 26,Level-1,>50K,Occupation 39
20-29,Male,*,Single,Level-1,Country 27,Level-1,>50K,Occupation 6
20-29,Male,*,Single,,Country 33,Level-1,>50K,Occupation 32
40-49,Female,*,Single,Level-1,Country 8,Level-1,>50K,Occupation 35
80-89,Female,*,Single,Level-1,Country 21,Level-1,>50K,Occupation 4
10-19,Female,*,Single,Level-1,Country 1,Level-1,>50K,Occupation 4
70-79,Male,*,Single,Level-1,Country 39,Level-1,<=50K,Occupation 20
80-89,Male,*,Single,Level-1,Country 18,Level-1,<=50K,Occupation 25
60-69,Male,*,Single,Level-1,Country 39,Level-1,<=50K,Occupation 26
30-39,Male,*,Single,,Country 37,Level-1,<=50K,Occupation 13
80-89,Female,*,Single,Level-1,Country 9,Level-1,>50K,Occupation 30
20-29,Female,*,Single,,Country 18,Level-1,<=50K,Occupation 16
30-39,Female,*,Single,Level-1,Country 8,Level-1,<=50K,Occupation 40
40-49,Male,*,Single,Level-1,Country 29,Level-1,>50K,Occupation 28
50-59,Male,*,Single,,Country 22,Level-1,>50K,Occupation 3
60-69,Male,*,Single,,Country 32,Level-1,<=50K,Occupation 8
20-29,Male,*,Single,Level-1,Country 6,Level-1,>50K,Occupation 26
70-79,Female,*,Single,Level-1,Country 21,Level-1,<=50K,Occupation 7
50-59,Female,*,Single,Level-1,Country 10,Level-1,>50K,Occupation 14
50-59,Male,*,Single,Level-1,Country 20,Level-1,<=50K,Occupation 23
40-49,Male,*,Single,,Country 18,Level-1,<=50K,Occupation 19
70-79,Female,*,Single,Level-1,Country 34,Level-1,>50K,Occupation 34
60-69,Female,*,Single,,Country 27,Level-1,<=50K,Occupation 14
40-49,Female,*,Single,,Country 26,Level-1,<=50K,Occupation 9
50-59,Male,*,Single,Level-1,Country 15,Level-1,<=50K,Occupation 31
40-49,Female,*,Single,,Country 8,Level-1,>50K,Occupation 14
30-39,Female,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 3
30-39,Female,*,Single,Level-1,Country 16,Level-1,>50K,Occupation 17
30-39,Female,*,Single,,Country 32,Level-1,<=50K,Occupation 1
Suppressed,Suppressed,Suppressed,Suppressed,Level-1,Country 35,Level-1,<=50K,Occupation 24
70-79,Female,*,Single,Level-1,Country 28,Level-1,>50K,Occupation 30
80-89,Male,*,Single,Level-1,Country 3,Level-1,>50K,Occupation 21
80-89,Male,*,Single,,Country 7,Level-1,>50K,Occupation 26
70-79,Female,*,Single,Level-1,Country 2,Level-1,>50K,Occupation 41
30-39,Male,*,Single,Level-1,Country 22,Level-1,<=50K,Occupation 39
30-39,Female,*,Single,Level-1,Country 30,Level-1,>50K,Occupation 1
40-49,Male,*,Single,,Country 27,Level-1,>50K,Occupation 29
40-49,Female,*,Single,Level-1,Country 15,Level-1,>50K,Occupation 1
40-49,Male,*,Single,Level-1,Country 4,Level-1,>50K,Occupation 30
70-79,Female,*,Single,,Country 19,Level-1,>50K,Occupation 5
30-39,Female,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 21
20-29,Female,*,Single,Level-1,Country 7,Level-1,>50K,Occupation 3
50-59,Male,*,Single,,Country 34,Level-1,>50K,Occupation 4
70-79,Female,*,Single,Level-1,Country 40,Level-1,>50K,Occupation 2
50-59,Female,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 1
50-59,Female,*,Single,,Country 2,Level-1,>50K,Occupation 7
70-79,Male,*,Single,Level-1,Country 8,Level-1,>50K,Occupation 10
70-79,Male,*,Single,Level-1,Country 23,Level-1,>50K,Occupation 34
70-79,Male,*,Single,,Country 3,Level-1,>50K,Occupation 25
70-79,Female,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 10
50-59,Female,*,Single,Level-1,Country 38,Level-1,<=50K,Occupation 4
60-69,Female,*,Single,Level-1,Country 37,Level-1,<=50K,Occupation 3
60-69,Female,*,Single,Level-1,Country 5,Level-1,>50K,Occupation 3
30-39,Male,*,Single,Level-1,Country 40,Level-1,>50K,Occupation 21
60-69,Male,*,Single,,Country 14,Level-1,<=50K,Occupation 22
20-29,Female,*,Single,Level-1,Country 11,Level-1,<=50K,Occupation 10
80-89,Female,*,Single,Level-1,Country 7,Level-1,<=50K,Occupation 39
20-29,Male,*,Single,Level-1,Country 22,Level-1,>50K,Occupation 7
80-89,Female,*,Single,Level-1,Country 13,Level-1,<=50K,Occupation 1
40-49,Male,*,Single,Level-1,Country 6,Level-1,>50K,Occupation 13
30-39,Male,*,Single,Level-1,Country 35,Level-1,<=50K,Occupation 39
70-79,Female,*,Single,Level-1,Country 27,Level-1,>50K,Occupation 39
50-59,Female,*,Single,Level-1,Country 5,Level-1,<=50K,Occupation 23
