Age,Gender,Race,Marital Status,Education,Native Country,Work Class,Salary Class,Occupation
88,Female,Black,Single,Bachelor's,China,Government,30-40K,Other-service
41,Male,White,Widowed,Some College,Italy,Self-Employed,<=20K,Tech-support
60,Female,White,Married,High School,Germany,Private,<=20K,Tech-support
76,Male,Asian,Separated,Bachelor's,India,Government,50-60K,Tech-support
62,Male,White,Divorced,Some College,Italy,Private,40-50K,Sales
19,Female,White,Single,Some College,Germany,Private,30-40K,Other-service
53,Male,White,Single,Some College,Germany,Self-Employed,30-40K,Craft-repair
33,Male,White,Separated,High School,Italy,Unemployed,60-70K,Exec-managerial
65,Male,White,Divorced,Some College,Italy,Private,40-50K,Sales
37,Female,Hispanic,Single,Some College,Italy,Government,40-50K,Sales
88,Female,White,Married,High School,India,Private,20-30K,Other-service
47,Female,Asian,Single,Bachelor's,Italy,Private,20-30K,Exec-managerial
37,Female,White,Single,High School,Italy,Unemployed,<=20K,Other-service
90,Female,White,Separated,Some College,Italy,Private,30-40K,Other-service
88,Male,White,Married,High School,Germany,Private,20-30K,Sales
53,Male,White,Married,Some College,Germany,Government,60-70K,Tech-support
67,Female,White,Single,High School,Italy,Government,20-30K,Exec-managerial
28,Male,White,Married,High School,Italy,Unemployed,50-60K,Sales
60,Male,Black,Separated,Bachelor's,Italy,Private,20-30K,Sales
62,Male,Hispanic,Single,High School,Italy,Private,40-50K,Exec-managerial
38,Male,White,Single,High School,Philippines,Unemployed,<=20K,Craft-repair
21,Female,White,Single,High School,India,Private,40-50K,Sales
76,Female,White,Single,Bachelor's,India,Government,50-60K,Other-service
50,Female,Hispanic,Married,Some College,Italy,Private,<=20K,Exec-managerial
44,Female,White,Single,High School,Italy,Private,30-40K,Sales
57,Male,Black,Single,Some College,Italy,Private,<=20K,Sales
