Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
16753,2023-12-15,Female,Style 1382,1610,3,Air,4800
26523,2023-12-07,Male,Style 697,3250,3,Air,5000
75799,2023-12-28,Female,Style 643,2690,7,Sea,2750
40094,2023-03-14,Male,Style 1156,1470,3,Sea,7050
53978,2023-09-07,Female,Style 662,1870,4,Air,2450
86790,2023-12-17,Female,Style 135,480,7,Air,1350
16414,2023-07-06,Female,Style 809,430,4,Sea,850
63659,2023-08-26,Female,Style 686,1150,2,Sea,5000
88843,2023-01-14,Female,Style 188,40,10,Air,6050
66513,2023-05-18,Male,Style 342,2970,8,Sea,4150
16877,2023-08-22,Male,Style 1442,1330,10,Air,950
40661,2023-06-19,Female,Style 162,430,2,Air,4700
58254,2023-02-28,Female,Style 45,2750,3,Rail,1750
73144,2023-06-25,Male,Style 1371,2620,8,Air,1000
94744,2023-07-01,Male,Style 640,110,2,Sea,2150
82119,2023-07-12,Male,Style 879,3320,4,Sea,1450
81553,2023-05-03,Male,Style 628,2810,3,Air,1450
97035,2023-03-08,Male,Style 395,800,10,Sea,200
14114,2023-04-14,Male,Style 438,280,8,Sea,4400
34131,2023-02-19,Female,Style 652,2270,7,Rail,3600
85724,2023-06-25,Female,Style 331,1200,4,Sea,500
93406,2023-11-03,Male,Style 1012,1900,4,Air,7400
97222,2023-07-18,Male,Style 357,2800,3,Air,2550
17097,2023-10-11,Female,Style 735,1340,8,Sea,4700
65959,2023-01-12,Female,Style 745,3460,7,Air,3450
66447,2023-11-26,Female,Style 736,3450,6,Air,6450
56900,2023-08-07,Female,Style 167,750,7,Air,2200
72594,2023-10-22,Male,Style 228,60,10,Air,6550
83427,2023-02-06,Female,Style 1051,3140,7,Air,1250
39682,2023-10-18,Male,Style 317,2090,10,Air,2250
92529,2023-07-22,Male,Style 542,1300,3,Sea,1650
69901,2023-03-07,Male,Style 211,1140,2,Air,3950
98676,2023-03-12,Female,Style 734,1600,8,Air,5150
92844,2023-06-01,Female,Style 483,60,10,Rail,250
57680,2023-11-12,Male,Style 817,2980,2,Air,200
73325,2023-11-21,Female,Style 677,1200,10,Sea,6200
93680,2023-12-14,Female,Style 953,100,4,Sea,1200
20432,2023-07-10,Female,Style 834,2390,7,Sea,2450
53754,2023-09-15,Female,Style 378,2610,3,Air,3950
72857,2023-06-03,Female,Style 953,2130,8,Rail,4400
53160,2023-04-21,Male,Style 786,3460,3,Air,3450
63113,2023-10-11,Male,Style 623,1720,7,Air,4600
20738,2023-02-02,Male,Style 1159,2170,4,Air,650
47159,2023-01-09,Female,Style 304,400,7,Sea,5800
93284,2023-03-06,Female,Style 25,1660,2,Rail,3650
79690,2023-05-22,Female,Style 297,1350,10,Air,2250
53386,2023-04-14,Female,Style 590,1490,4,Air,6400
40165,2023-10-08,Female,Style 1215,2990,10,Sea,700
83564,2023-08-26,Female,Style 31,1190,10,Air,5200
45200,2023-01-13,Male,Style 105,110,3,Sea,1050
56288,2023-11-07,Male,Style 1058,370,8,Rail,1750
51033,2023-09-22,Female,Style 947,1840,7,Air,4100
25882,2023-04-16,Female,Style 514,2380,10,Sea,6500
93592,2023-09-19,Female,Style 733,3300,2,Rail,7200
44544,2023-11-10,Male,Style 1465,1090,6,Sea,800
23209,2023-07-24,Female,Style 644,2640,2,Air,5500
96230,2023-06-07,Male,Style 1302,1800,2,Air,5400
39469,2023-10-17,Female,Style 543,3060,4,Air,5600
28817,2023-01-26,Male,Style 1420,1880,6,Air,2100
30865,2023-11-26,Male,Style 1253,3380,2,Sea,6050
69431,2023-05-25,Male,Style 1391,1730,10,Air,5450
14948,2023-07-26,Female,Style 1210,2650,4,Rail,750
71717,2023-09-21,Male,Style 765,2390,10,Sea,7250
38100,2023-05-14,Female,Style 958,1180,6,Sea,4450
55575,2023-03-28,Male,Style 117,2050,6,Air,7400
62493,2023-04-09,Male,Style 1107,2500,7,Air,6400
39424,2023-02-19,Male,Style 933,3040,6,Air,6150
54600,2023-02-09,Female,Style 316,1050,3,Rail,2100
61344,2023-10-24,Female,Style 851,400,7,Sea,4400
83701,2023-07-27,Female,Style 370,1430,8,Air,7300
48938,2023-07-02,Female,Style 1048,2790,4,Sea,3200
95816,2023-02-15,Male,Style 615,2520,3,Air,1850
68089,2023-10-15,Female,Style 1034,3110,3,Sea,2750
78726,2023-01-18,Female,Style 907,3320,7,Sea,4600
38805,2023-04-08,Female,Style 1195,880,10,Air,2450
58961,2023-09-27,Female,Style 518,640,7,Sea,2800
87332,2023-07-13,Male,Style 1258,1220,7,Sea,7300
41760,2023-05-19,Male,Style 269,2580,2,Sea,6800
15434,2023-01-12,Female,Style 7,1810,2,Sea,1750
52855,2023-12-17,Female,Style 739,540,3,Sea,2900
72850,2023-04-27,Female,Style 929,3140,7,Sea,3750
66156,2023-11-09,Female,Style 184,680,8,Air,4700
84038,2023-07-10,Female,Style 1141,1530,4,Sea,3450
41366,2023-06-06,Female,Style 1501,630,4,Air,3950
83921,2023-12-06,Male,Style 524,1940,7,Air,6900
96478,2023-11-04,Female,Style 853,1940,3,Air,1200
40193,2023-01-28,Male,Style 1362,1250,4,Air,6050
88040,2023-02-20,Female,Style 204,1990,6,Rail,3550
37073,2023-08-13,Female,Style 864,1410,7,Air,7150
42649,2023-09-15,Female,Style 508,3280,7,Sea,3250
10032,2023-04-24,Female,Style 570,1030,4,Rail,3600
34870,2023-11-01,Female,Style 151,1180,8,Air,6100
44454,2023-04-20,Female,Style 362,1050,10,Air,6250
55204,2023-07-20,Male,Style 1228,1420,7,Air,3500
45328,2023-08-05,Female,Style 1238,3070,3,Air,7350
19888,2023-05-21,Male,Style 828,30,10,Sea,1250
84686,2023-03-11,Male,Style 1072,3240,4,Air,5050
35357,2023-01-18,Male,Style 1118,1560,7,Air,6650
15997,2023-03-26,Female,Style 769,1830,2,Air,3250
43288,2023-05-11,Female,Style 1445,2370,3,Air,2950
89638,2023-09-16,Male,Style 150,140,6,Air,5300
37194,2023-11-20,Male,Style 1412,3010,6,Air,1650
96496,2023-07-20,Male,Style 1378,1300,7,Air,1750
54706,2023-05-08,Female,Style 22,2730,7,Air,6200
85142,2023-01-26,Male,Style 623,2820,10,Air,6300
80280,2023-03-20,Male,Style 1186,2490,6,Sea,2750
47382,2023-11-16,Male,Style 1196,680,6,Sea,4300
81800,2023-06-27,Female,Style 435,3140,6,Air,6750
16360,2023-12-06,Female,Style 972,3370,7,Sea,4100
87682,2023-10-25,Female,Style 644,2770,10,Sea,1700
54431,2023-03-12,Female,Style 478,3380,7,Sea,1750
13899,2023-09-13,Female,Style 725,810,2,Sea,5800
87345,2023-08-02,Male,Style 369,2760,4,Sea,4700
52623,2023-02-05,Male,Style 500,1970,8,Sea,550
45258,2023-02-10,Female,Style 1058,1960,10,Sea,5800
98449,2023-11-02,Female,Style 1084,2790,3,Air,4950
58660,2023-12-22,Female,Style 697,2550,7,Air,3950
30066,2023-06-09,Male,Style 1118,530,6,Air,3150
51695,2023-03-12,Female,Style 495,70,3,Air,2950
45323,2023-09-08,Male,Style 478,20,2,Air,3950
14921,2023-04-07,Male,Style 1129,1880,8,Sea,2300
36725,2023-04-03,Female,Style 7,570,8,Air,2500
41960,2023-01-06,Female,Style 692,1480,10,Sea,4850
27948,2023-04-20,Female,Style 769,1040,7,Sea,3850
68079,2023-08-27,Female,Style 874,2230,8,Air,5600
98864,2023-05-20,Female,Style 572,1790,7,Rail,2250
63316,2023-01-13,Male,Style 597,2470,10,Air,1300
68361,2023-11-24,Female,Style 677,670,7,Air,2700
67422,2023-02-24,Male,Style 983,2560,4,Sea,2550
86452,2023-03-27,Male,Style 373,2270,3,Air,2600
77448,2023-05-07,Male,Style 986,2120,4,Air,1000
83529,2023-12-03,Female,Style 604,2860,6,Air,5750
88104,2023-03-12,Male,Style 1071,1690,10,Sea,2300
47847,2023-08-04,Female,Style 342,270,10,Air,4650
97136,2023-07-15,Male,Style 1443,2830,7,Sea,700
48822,2023-03-26,Female,Style 703,790,2,Air,2900
70913,2023-02-09,Male,Style 42,850,3,Sea,3350
41363,2023-06-19,Female,Style 501,1150,6,Air,6650
15717,2023-08-03,Male,Style 427,2850,2,Rail,5650
16660,2023-06-17,Female,Style 1474,2240,4,Sea,5200
75000,2023-07-24,Female,Style 1139,250,4,Sea,1850
62989,2023-08-10,Female,Style 274,960,3,Sea,3600
96682,2023-09-21,Female,Style 1255,530,3,Air,6500
42324,2023-03-21,Female,Style 839,1990,3,Air,2500
33094,2023-10-27,Female,Style 743,3110,10,Air,5050
72964,2023-07-18,Male,Style 228,1850,3,Air,2650
24246,2023-12-12,Female,Style 1192,640,4,Air,6600
84430,2023-06-25,Female,Style 1393,1490,3,Sea,5300
11380,2023-12-19,Male,Style 687,1500,3,Sea,7100
83354,2023-02-19,Female,Style 841,1640,7,Air,3500
53101,2023-10-28,Male,Style 1024,850,10,Air,4550
18068,2023-03-06,Male,Style 876,650,3,Air,3800
67172,2023-08-06,Male,Style 1492,2500,10,Sea,7300
56052,2023-01-09,Male,Style 1302,3450,10,Air,250
38625,2023-09-02,Male,Style 1509,1030,10,Air,750
62918,2023-05-02,Male,Style 374,1490,10,Sea,5450
56970,2023-06-18,Male,Style 46,60,3,Sea,5250
80797,2023-09-22,Female,Style 1116,3280,3,Sea,2400
55434,2023-01-28,Female,Style 1214,600,10,Air,3350
62848,2023-05-27,Female,Style 102,540,2,Sea,5050
76305,2023-12-07,Male,Style 506,180,6,Air,600
51422,2023-09-20,Female,Style 1088,140,7,Air,850
97581,2023-04-09,Female,Style 835,3240,7,Air,7000
16148,2023-04-23,Female,Style 1063,1510,4,Sea,5400
30365,2023-06-27,Male,Style 591,60,7,Sea,3100
20451,2023-06-16,Female,Style 1020,70,7,Air,7050
63489,2023-04-23,Male,Style 846,3200,6,Air,150
31714,2023-09-24,Female,Style 1501,590,2,Air,650
32289,2023-12-18,Female,Style 1023,730,7,Sea,300
23876,2023-08-23,Female,Style 1333,70,4,Air,3100
87757,2023-11-23,Female,Style 902,2860,3,Air,3350
57706,2023-08-12,Male,Style 1424,630,8,Rail,1150
15126,2023-11-17,Female,Style 990,1780,3,Air,1750
26025,2023-08-22,Male,Style 368,3230,8,Air,4550
22687,2023-01-23,Female,Style 1400,790,2,Sea,4550
30997,2023-06-20,Female,Style 202,3390,10,Air,2850
37849,2023-04-28,Male,Style 83,2390,3,Air,5550
89865,2023-03-21,Female,Style 508,1150,2,Air,2100
55028,2023-08-25,Male,Style 449,30,7,Sea,4050
27277,2023-04-21,Female,Style 618,1950,4,Sea,6550
23822,2023-03-04,Male,Style 1229,780,10,Air,3550
13133,2023-07-03,Female,Style 280,860,8,Air,750
82598,2023-05-07,Female,Style 295,2150,10,Air,7250
88380,2023-06-25,Male,Style 198,1700,4,Rail,5600
73320,2023-03-03,Female,Style 1417,470,6,Air,250
11196,2023-11-23,Male,Style 1338,120,4,Sea,2050
74952,2023-07-05,Male,Style 529,1130,10,Air,1000
34384,2023-11-01,Male,Style 531,1110,10,Air,5150
65343,2023-08-08,Male,Style 1031,1930,7,Rail,4500
18783,2023-03-25,Male,Style 702,3450,7,Sea,4450
42067,2023-10-22,Male,Style 817,2740,7,Sea,6500
37483,2023-08-07,Female,Style 1120,1800,7,Air,1900
39347,2023-06-13,Male,Style 1475,2310,3,Air,3800
32378,2023-10-09,Male,Style 806,3070,2,Sea,5500
93858,2023-07-12,Female,Style 665,2670,3,Air,6550
63219,2023-01-23,Male,Style 272,2690,7,Air,7350
42851,2023-09-18,Female,Style 1036,1090,10,Sea,4250
67045,2023-12-19,Female,Style 627,2770,7,Air,1200
33756,2023-09-08,Female,Style 1380,2030,7,Air,4450
86226,2023-03-06,Male,Style 1150,2970,10,Air,3850
27345,2023-09-02,Male,Style 810,690,10,Sea,2250
54361,2023-03-26,Female,Style 1344,1300,10,Air,3700
37314,2023-05-07,Male,Style 538,1310,7,Sea,850
25589,2023-09-10,Male,Style 1107,3320,10,Air,5500
45150,2023-11-02,Female,Style 1201,2590,4,Air,6250
35465,2023-09-18,Male,Style 106,380,7,Sea,100
40433,2023-03-12,Female,Style 928,3130,8,Air,4350
65090,2023-04-08,Male,Style 1417,2780,3,Air,6150
67678,2023-06-23,Female,Style 1305,750,8,Sea,1800
63710,2023-08-08,Female,Style 156,1730,10,Air,2950
74664,2023-04-22,Male,Style 1355,170,6,Sea,7050
88613,2023-12-24,Male,Style 874,2920,6,Sea,1800
94896,2023-02-02,Male,Style 799,40,7,Air,6150
75550,2023-01-12,Male,Style 251,80,8,Air,4700
24037,2023-02-11,Male,Style 315,1260,6,Sea,300
64333,2023-11-17,Male,Style 284,2060,3,Air,5050
57370,2023-08-20,Male,Style 317,1550,7,Sea,5250
61218,2023-02-19,Female,Style 1254,1500,8,Air,5950
13149,2023-09-28,Female,Style 796,3060,6,Air,2700
34889,2023-02-07,Male,Style 917,1000,10,Air,1450
95106,2023-06-27,Male,Style 109,160,2,Air,2450
25931,2023-08-17,Female,Style 268,2660,2,Air,5300
18083,2023-02-20,Male,Style 229,2600,6,Air,1350
94217,2023-03-11,Male,Style 685,3380,3,Air,3850
23849,2023-12-09,Female,Style 687,2400,4,Air,6500
72804,2023-03-13,Female,Style 1213,2970,10,Air,7100
85103,2023-06-21,Male,Style 1373,3270,10,Sea,5800
41151,2023-10-26,Male,Style 76,2450,10,Sea,2950
33157,2023-04-10,Female,Style 909,280,3,Air,6750
67509,2023-03-17,Male,Style 1381,2160,8,Sea,1200
82278,2023-11-02,Female,Style 1444,730,6,Sea,4850
54541,2023-05-26,Female,Style 82,840,3,Air,1500
16320,2023-06-07,Male,Style 1318,1570,3,Air,4100
25805,2023-02-21,Female,Style 1070,3040,7,Air,450
95572,2023-10-22,Male,Style 982,3050,8,Air,5550
98248,2023-04-28,Female,Style 948,1530,3,Air,4300
70526,2023-11-12,Female,Style 284,900,3,Air,7300
16094,2023-11-26,Male,Style 482,2210,10,Rail,750
56307,2023-06-19,Male,Style 1451,2630,3,Air,4300
68756,2023-09-21,Female,Style 1229,1320,2,Air,6850
87803,2023-09-05,Male,Style 25,190,4,Sea,200
44946,2023-04-26,Female,Style 949,3330,4,Sea,5150
38707,2023-07-07,Male,Style 1220,50,6,Sea,4950
58927,2023-02-10,Female,Style 899,2130,7,Air,1750
31499,2023-05-15,Female,Style 133,1320,7,Sea,800
59233,2023-09-07,Male,Style 1052,40,8,Air,5550
78451,2023-01-18,Female,Style 1170,1970,8,Sea,7100
59475,2023-09-19,Female,Style 752,2800,3,Sea,800
79323,2023-04-14,Female,Style 758,310,3,Rail,650
94664,2023-08-01,Male,Style 1111,60,2,Air,2650
76222,2023-02-12,Female,Style 1035,2030,6,Air,5450
25516,2023-01-27,Female,Style 1449,2170,4,Rail,6350
75180,2023-05-09,Female,Style 715,50,7,Sea,2800
48403,2023-01-25,Female,Style 1129,1710,10,Air,6150
75462,2023-02-09,Male,Style 137,2000,7,Sea,4350
22395,2023-01-23,Male,Style 961,2080,7,Rail,1850
63283,2023-02-23,Male,Style 36,2790,8,Air,2050
54802,2023-01-25,Male,Style 744,1790,10,Air,5300
19314,2023-12-17,Male,Style 520,870,10,Sea,5850
88026,2023-05-21,Female,Style 1240,80,6,Sea,7400
85067,2023-09-16,Female,Style 830,670,10,Air,3650
85054,2023-09-09,Female,Style 208,3160,10,Rail,1200
92141,2023-09-17,Male,Style 1079,70,3,Air,3550
91302,2023-09-17,Female,Style 1111,1880,4,Sea,2100
92861,2023-01-09,Male,Style 397,3380,10,Sea,1700
12359,2023-10-04,Male,Style 1509,2920,4,Air,3250
43614,2023-10-27,Female,Style 728,2600,3,Rail,7000
60640,2023-09-14,Male,Style 222,200,6,Sea,5150
85473,2023-08-22,Female,Style 1332,1880,4,Air,1550
38521,2023-07-14,Female,Style 680,360,7,Air,1250
81372,2023-06-19,Male,Style 761,2220,10,Air,650
32728,2023-08-15,Male,Style 52,840,2,Sea,3850
17456,2023-07-05,Male,Style 913,2560,4,Sea,3550
62655,2023-03-14,Female,Style 1257,370,6,Air,7400
40202,2023-01-23,Male,Style 874,2450,6,Rail,1950
94705,2023-08-22,Female,Style 560,840,7,Air,6050
32556,2023-03-28,Male,Style 1165,870,3,Air,7200
21031,2023-07-18,Male,Style 758,3300,10,Air,5150
25638,2023-02-16,Male,Style 692,1150,8,Air,2550
95790,2023-03-22,Female,Style 1159,320,7,Air,1450
72418,2023-12-10,Female,Style 1117,1840,2,Sea,5300
22405,2023-04-22,Female,Style 808,1570,10,Air,2250
81627,2023-10-22,Male,Style 814,910,8,Air,6300
79796,2023-11-24,Male,Style 1053,3370,2,Sea,4350
78027,2023-07-14,Female,Style 1027,1790,4,Sea,4150
95032,2023-04-16,Male,Style 1275,840,10,Sea,7350
76983,2023-09-16,Female,Style 1288,830,6,Sea,4500
92178,2023-09-25,Female,Style 1133,160,3,Sea,1050
28864,2023-11-26,Male,Style 760,2220,3,Air,6200
94015,2023-06-20,Female,Style 113,720,8,Air,6200
15089,2023-07-14,Female,Style 1194,300,7,Air,200
63754,2023-03-05,Male,Style 1366,2330,7,Sea,5750
80946,2023-01-03,Male,Style 173,1920,6,Air,6650
50361,2023-03-09,Female,Style 568,1450,10,Sea,4750
35952,2023-08-23,Male,Style 1100,2940,4,Rail,3100
92008,2023-09-01,Female,Style 139,1700,2,Air,6800
82328,2023-05-19,Female,Style 927,2280,10,Air,6600
90846,2023-05-18,Female,Style 484,1310,4,Sea,4300
58339,2023-02-26,Female,Style 1405,720,7,Sea,3300
66616,2023-12-08,Male,Style 230,3420,6,Sea,3350
80525,2023-09-08,Female,Style 580,2250,2,Air,3050
46495,2023-02-28,Female,Style 996,2260,7,Sea,250
78700,2023-08-17,Female,Style 258,990,10,Air,2150
98341,2023-06-13,Female,Style 644,760,3,Rail,4150
76636,2023-05-07,Female,Style 1463,3300,4,Air,7050
38702,2023-10-25,Female,Style 1465,2620,3,Air,150
29871,2023-02-05,Male,Style 1211,2090,3,Air,6300
45837,2023-04-26,Female,Style 77,1670,4,Air,650
35046,2023-05-10,Male,Style 380,2110,7,Air,4150
69872,2023-02-19,Male,Style 1387,1860,6,Air,1750
10243,2023-12-05,Male,Style 119,2820,10,Rail,850
58633,2023-11-20,Male,Style 330,960,8,Air,5900
29074,2023-04-17,Female,Style 744,570,10,Air,5600
43586,2023-11-02,Female,Style 422,3410,3,Sea,1450
35129,2023-01-08,Male,Style 260,2370,10,Air,4200
37253,2023-10-19,Female,Style 1274,820,7,Air,6400
57923,2023-05-04,Female,Style 720,2290,7,Air,1850
19648,2023-09-04,Female,Style 490,3120,6,Air,7000
80414,2023-02-26,Male,Style 544,3380,2,Sea,6150
53536,2023-07-17,Male,Style 26,2290,3,Air,2350
70323,2023-01-05,Male,Style 1159,210,8,Sea,5050
12985,2023-11-16,Male,Style 1465,670,2,Air,3900
30120,2023-12-18,Female,Style 796,1620,4,Sea,3450
95389,2023-12-25,Male,Style 283,2570,4,Sea,6500
81043,2023-09-14,Female,Style 1282,3220,6,Air,3850
74563,2023-09-14,Male,Style 869,720,3,Sea,5250
95562,2023-09-25,Female,Style 202,200,7,Sea,450
60820,2023-07-15,Female,Style 419,3280,10,Rail,1200
45289,2023-03-02,Male,Style 92,2290,3,Sea,1600
85122,2023-05-16,Female,Style 437,1620,3,Air,2150
45996,2023-01-10,Male,Style 1049,1330,10,Air,3700
84003,2023-04-03,Female,Style 282,2620,8,Sea,6000
46256,2023-04-13,Female,Style 202,2510,7,Air,1800
40706,2023-03-21,Male,Style 74,1060,3,Air,6800
71608,2023-12-07,Female,Style 283,2690,8,Air,5450
96257,2023-03-22,Male,Style 907,1120,7,Sea,900
90412,2023-07-25,Female,Style 1275,260,10,Rail,6950
56672,2023-04-16,Female,Style 841,1500,10,Air,1950
35598,2023-06-24,Female,Style 1169,600,10,Sea,3000
12806,2023-02-21,Female,Style 813,290,4,Rail,1550
91887,2023-09-17,Male,Style 174,350,7,Air,3400
90787,2023-03-14,Female,Style 554,2520,8,Sea,1350
56713,2023-06-15,Male,Style 536,380,7,Sea,1150
38800,2023-05-21,Male,Style 1152,1270,10,Air,2050
38053,2023-12-09,Female,Style 1326,2890,8,Sea,5450
59225,2023-10-08,Male,Style 560,1670,3,Sea,1000
62567,2023-03-19,Female,Style 46,1110,2,Air,4000
95547,2023-01-14,Male,Style 837,3330,7,Air,950
68896,2023-11-26,Female,Style 650,1430,3,Sea,5250
15851,2023-01-27,Female,Style 971,2790,4,Sea,5450
39562,2023-04-13,Female,Style 386,450,2,Air,2000
73458,2023-09-18,Male,Style 845,1260,3,Rail,2950
44259,2023-05-03,Male,Style 184,260,7,Air,950
29315,2023-08-15,Male,Style 1091,2790,8,Sea,3650
39114,2023-12-27,Female,Style 516,2820,8,Sea,5250
44912,2023-06-26,Female,Style 1238,640,7,Air,2200
58819,2023-01-01,Male,Style 710,290,10,Air,1650
79050,2023-12-15,Male,Style 909,2890,4,Sea,4250
91827,2023-07-22,Male,Style 424,1300,3,Air,5150
12717,2023-09-27,Male,Style 998,2280,6,Air,2600
25191,2023-05-15,Female,Style 4,1720,2,Air,2850
28993,2023-08-10,Female,Style 966,1770,10,Air,3700
79411,2023-04-27,Female,Style 196,370,4,Sea,7300
90624,2023-01-27,Female,Style 1013,1410,7,Sea,1750
66280,2023-12-19,Male,Style 918,2220,3,Air,1050
32085,2023-04-07,Female,Style 1220,3010,2,Sea,5500
33737,2023-08-25,Female,Style 585,1440,6,Air,2350
44711,2023-10-10,Male,Style 515,3090,7,Air,6250
70674,2023-03-11,Female,Style 991,1970,4,Sea,200
25936,2023-12-06,Female,Style 1072,570,3,Rail,6600
21710,2023-11-23,Male,Style 268,1500,4,Air,4250
49009,2023-10-12,Female,Style 571,60,10,Sea,900
57286,2023-04-13,Male,Style 931,270,10,Sea,100
47048,2023-11-02,Female,Style 1339,730,10,Air,3750
80954,2023-03-03,Male,Style 60,820,2,Sea,1450
78352,2023-02-15,Female,Style 1091,130,4,Rail,6350
82354,2023-07-20,Female,Style 186,2440,3,Sea,6150
87126,2023-04-27,Female,Style 722,900,7,Air,7250
38570,2023-09-08,Male,Style 327,830,7,Sea,1300
71438,2023-01-13,Male,Style 180,30,3,Air,4250
83849,2023-01-16,Male,Style 80,1180,6,Air,7050
67176,2023-10-02,Male,Style 544,760,7,Air,5750
83227,2023-06-13,Male,Style 968,1720,10,Sea,3450
76127,2023-07-13,Female,Style 296,1690,7,Sea,4350
16034,2023-09-26,Male,Style 333,3410,2,Rail,2100
35419,2023-08-07,Male,Style 819,140,2,Rail,1150
81114,2023-02-04,Female,Style 590,1210,2,Sea,6650
40866,2023-05-24,Female,Style 1330,2810,3,Sea,4100
31402,2023-12-10,Male,Style 421,3400,6,Air,5400
93741,2023-07-11,Female,Style 567,2130,7,Air,1650
66635,2023-03-14,Male,Style 568,2430,6,Air,5200
65986,2023-06-08,Male,Style 343,2860,6,Air,6650
68761,2023-08-21,Male,Style 1332,2370,8,Air,5550
35549,2023-10-04,Male,Style 214,370,7,Sea,7350
42214,2023-03-06,Female,Style 601,2370,10,Sea,5400
41725,2023-08-13,Female,Style 1349,1090,6,Air,3050
99176,2023-10-01,Male,Style 848,1430,8,Air,450
29022,2023-11-17,Male,Style 217,390,8,Air,300
25407,2023-11-13,Female,Style 317,1840,6,Sea,1950
49024,2023-04-17,Male,Style 1331,2690,2,Air,4250
94405,2023-04-07,Female,Style 51,3140,10,Air,6950
82078,2023-06-27,Female,Style 206,230,3,Sea,4500
17479,2023-12-27,Female,Style 401,150,6,Air,1400
52359,2023-01-02,Male,Style 1033,340,6,Air,5750
45895,2023-12-03,Female,Style 303,1790,3,Air,450
37269,2023-05-01,Female,Style 752,200,10,Sea,1250
18256,2023-05-01,Female,Style 838,1160,2,Air,1150
52874,2023-12-11,Male,Style 1171,3220,8,Sea,6350
38102,2023-06-26,Female,Style 608,1340,7,Air,7000
43296,2023-06-07,Female,Style 711,3190,10,Sea,6800
61603,2023-07-20,Male,Style 955,3310,4,Air,1250
21226,2023-07-16,Female,Style 212,400,6,Air,1800
85793,2023-01-15,Female,Style 427,1090,2,Air,3000
28767,2023-05-21,Female,Style 694,740,7,Sea,2550
49946,2023-06-14,Male,Style 112,1530,8,Air,6350
29774,2023-06-11,Male,Style 1187,380,2,Sea,6400
38059,2023-05-13,Male,Style 407,2780,10,Sea,2650
