Age,Gender,Race,Marital Status,Education,Native Country,Work Class,Salary Class,Occupation
55,Female,Other,Separated,Associate,Country 7,Unemployed,<=50K,Occupation 4
34,Female,Other,Other,High School,Country 12,Retired,<=50K,Occupation 27
73,Female,Asian,Other,Associate,Country 34,Government,<=50K,Occupation 35
46,Female,Asian,Partnered,Bachelor's,Country 33,Private,<=50K,Occupation 31
53,Male,Hispanic,Divorced,None,Country 18,Private,<=50K,Occupation 17
57,Female,White,Married,Associate,Country 1,Private,>50K,Occupation 9
62,Male,Asian,Divorced,Bachelor's,Country 29,Retired,<=50K,Occupation 31
44,Female,White,Partnered,Some College,Country 30,Government,<=50K,Occupation 10
81,Male,Black,Partnered,High School,Country 36,Self-Employed,>50K,Occupation 11
38,Female,White,Single,Master's,Country 5,Student,<=50K,Occupation 3
70,Female,Hispanic,Other,Some College,Country 35,Government,>50K,Occupation 36
57,Male,White,Other,Doctorate,Country 5,Self-Employed,<=50K,Occupation 39
34,Male,Black,Widowed,Doctorate,Country 28,Self-Employed,<=50K,Occupation 4
58,Female,Hispanic,Single,Doctorate,Country 32,Government,<=50K,Occupation 4
89,Female,White,Widowed,Bachelor's,Country 12,Retired,>50K,Occupation 29
48,Female,Asian,Married,Master's,Country 1,Government,<=50K,Occupation 12
29,Male,Black,Single,Doctorate,Country 26,Other,<=50K,Occupation 39
39,Female,Other,Divorced,Doctorate,Country 41,Self-Employed,>50K,Occupation 29
57,Female,White,Separated,None,Country 34,Private,>50K,Occupation 4
67,Male,Black,Divorced,None,Country 41,Government,>50K,Occupation 25
29,Male,Asian,Divorced,Doctorate,Country 21,Government,<=50K,Occupation 36
38,Male,White,Single,None,Country 14,Student,>50K,Occupation 20
55,Female,Asian,Separated,Doctorate,Country 11,Student,<=50K,Occupation 30
61,Female,Black,Other,Bachelor's,Country 36,Unemployed,>50K,Occupation 2
24,Male,White,Married,Master's,Country 27,Student,<=50K,Occupation 16
29,Male,Black,Partnered,Associate,Country 18,Other,<=50K,Occupation 7
45,Female,Black,Married,Master's,Country 39,Retired,>50K,Occupation 19
85,Male,Other,Partnered,Associate,Country 31,Self-Employed,>50K,Occupation 18
27,Female,White,Partnered,Bachelor's,Country 25,Unemployed,<=50K,Occupation 33
88,Female,Hispanic,Separated,Bachelor's,Country 13,Retired,>50K,Occupation 19
50,Male,Hispanic,Widowed,None,Country 38,Unemployed,<=50K,Occupation 39
43,Female,Black,Widowed,Bachelor's,Country 7,Retired,>50K,Occupation 10
85,Male,Black,Partnered,Doctorate,Country 5,Other,<=50K,Occupation 36
36,Male,Hispanic,Divorced,Some College,Country 28,Self-Employed,>50K,Occupation 12
82,Female,Hispanic,Partnered,Some College,Country 12,Private,>50K,Occupation 14
75,Male,Black,Partnered,None,Country 12,Unemployed,>50K,Occupation 2
87,Female,Hispanic,Married,Doctorate,Country 22,Self-Employed,>50K,Occupation 7
85,Male,White,Divorced,High School,Country 18,Government,>50K,Occupation 33
37,Male,White,Divorced,None,Country 5,Student,>50K,Occupation 34
37,Female,Asian,Single,High School,Country 38,Government,<=50K,Occupation 20
52,Female,Other,Partnered,Bachelor's,Country 7,Private,>50K,Occupation 39
28,Female,Other,Single,Bachelor's,Country 5,Retired,<=50K,Occupation 18
89,Female,Hispanic,Single,None,Country 29,Student,>50K,Occupation 29
61,Male,Hispanic,Other,Master's,Country 32,Government,>50K,Occupation 2
33,Male,Black,Widowed,Some College,Country 11,Private,<=50K,Occupation 34
19,Female,Asian,Widowed,Some College,Country 3,Government,>50K,Occupation 16
41,Male,Other,Other,Associate,Country 10,Private,>50K,Occupation 18
51,Male,White,Single,Associate,Country 27,Self-Employed,>50K,Occupation 11
69,Female,Asian,Separated,Doctorate,Country 20,Unemployed,>50K,Occupation 6
77,Female,White,Widowed,High School,Country 12,Government,<=50K,Occupation 8
82,Female,Asian,Separated,None,Country 8,Government,>50K,Occupation 32
83,Female,Black,Married,Bachelor's,Country 38,Student,>50K,Occupation 39
48,Female,Hispanic,Other,Master's,Country 20,Unemployed,>50K,Occupation 1
75,Male,Other,Single,Bachelor's,Country 40,Other,<=50K,Occupation 18
74,Male,Other,Partnered,High School,Country 30,Private,<=50K,Occupation 41
30,Male,Asian,Partnered,None,Country 5,Private,>50K,Occupation 30
60,Male,Hispanic,Separated,Master's,Country 32,Student,<=50K,Occupation 12
67,Female,Hispanic,Single,None,Country 23,Private,>50K,Occupation 28
63,Male,Asian,Single,Some College,Country 39,Self-Employed,<=50K,Occupation 15
49,Female,Black,Widowed,Bachelor's,Country 41,Private,<=50K,Occupation 33
31,Female,Other,Divorced,Master's,Country 10,Other,<=50K,Occupation 20
40,Male,White,Married,Doctorate,Country 21,Private,>50K,Occupation 34
26,Female,White,Widowed,Bachelor's,Country 14,Self-Employed,>50K,Occupation 23
57,Male,Black,Other,Doctorate,Country 1,Unemployed,<=50K,Occupation 27
52,Female,Asian,Partnered,Some College,Country 28,Student,<=50K,Occupation 31
21,Female,Other,Widowed,Some College,Country 4,Private,>50K,Occupation 5
29,Female,Hispanic,Single,Doctorate,Country 3,Government,<=50K,Occupation 24
35,Female,Asian,Other,Doctorate,Country 24,Self-Employed,<=50K,Occupation 16
24,Male,White,Separated,Bachelor's,Country 9,Private,>50K,Occupation 37
29,Female,White,Single,High School,Country 30,Unemployed,>50K,Occupation 34
43,Male,Black,Single,Associate,Country 39,Other,>50K,Occupation 5
18,Male,White,Separated,Associate,Country 33,Government,>50K,Occupation 33
60,Male,White,Married,None,Country 23,Retired,>50K,Occupation 12
81,Female,White,Partnered,Master's,Country 23,Government,<=50K,Occupation 7
76,Female,Other,Single,Some College,Country 25,Student,>50K,Occupation 4
33,Male,Other,Widowed,Master's,Country 6,Self-Employed,>50K,Occupation 29
62,Female,Asian,Separated,High School,Country 41,Private,<=50K,Occupation 1
52,Female,Black,Partnered,Some College,Country 25,Private,>50K,Occupation 39
27,Male,White,Married,Master's,Country 2,Self-Employed,<=50K,Occupation 10
79,Male,Black,Other,Master's,Country 31,Government,>50K,Occupation 3
35,Female,White,Separated,Associate,Country 31,Retired,>50K,Occupation 37
52,Female,Hispanic,Other,High School,Country 37,Unemployed,<=50K,Occupation 14
21,Female,Hispanic,Single,None,Country 12,Unemployed,>50K,Occupation 5
60,Male,Asian,Single,High School,Country 16,Other,>50K,Occupation 5
27,Male,White,Separated,Associate,Country 3,Other,>50K,Occupation 40
81,Male,Hispanic,Divorced,None,Country 31,Retired,>50K,Occupation 9
80,Male,Black,Other,High School,Country 20,Self-Employed,<=50K,Occupation 38
37,Female,Asian,Other,Some College,Country 20,Unemployed,>50K,Occupation 12
61,Female,White,Divorced,None,Country 38,Self-Employed,<=50K,Occupation 5
22,Male,Hispanic,Single,Master's,Country 6,Self-Employed,>50K,Occupation 6
67,Male,White,Widowed,High School,Country 12,Government,>50K,Occupation 31
27,Male,Other,Married,Bachelor's,Country 20,Unemployed,>50K,Occupation 18
31,Male,Asian,Single,Doctorate,Country 35,Unemployed,<=50K,Occupation 22
18,Female,White,Married,None,Country 40,Other,>50K,Occupation 8
90,Female,Other,Partnered,None,Country 5,Retired,<=50K,Occupation 10
43,Female,White,Widowed,Doctorate,Country 13,Retired,<=50K,Occupation 18
77,Female,Hispanic,Partnered,Doctorate,Country 33,Private,>50K,Occupation 12
19,Female,Asian,Other,None,Country 19,Government,<=50K,Occupation 2
51,Male,Other,Other,Some College,Country 40,Retired,>50K,Occupation 22
59,Male,Hispanic,Partnered,High School,Country 13,Unemployed,<=50K,Occupation 39
54,Male,Other,Married,Associate,Country 8,Private,<=50K,Occupation 33
42,Male,White,Married,Some College,Country 22,Student,>50K,Occupation 13
28,Female,Hispanic,Other,None,Country 18,Student,>50K,Occupation 30
48,Female,White,Separated,Master's,Country 36,Unemployed,>50K,Occupation 27
23,Male,Asian,Other,Master's,Country 9,Other,>50K,Occupation 18
23,Male,Other,Partnered,Bachelor's,Country 32,Unemployed,<=50K,Occupation 23
20,Female,Other,Other,Bachelor's,Country 1,Retired,>50K,Occupation 15
67,Male,Asian,Single,High School,Country 10,Unemployed,<=50K,Occupation 29
27,Female,Black,Partnered,None,Country 41,Government,<=50K,Occupation 37
42,Female,Other,Widowed,Master's,Country 32,Private,<=50K,Occupation 15
31,Female,Asian,Single,Bachelor's,Country 28,Unemployed,>50K,Occupation 4
18,Male,Black,Other,High School,Country 15,Other,>50K,Occupation 30
34,Female,White,Widowed,Associate,Country 25,Private,>50K,Occupation 25
59,Female,Asian,Other,Some College,Country 19,Private,>50K,Occupation 32
19,Female,Other,Partnered,Master's,Country 21,Other,<=50K,Occupation 39
54,Male,White,Single,Doctorate,Country 37,Other,<=50K,Occupation 21
31,Female,Black,Married,Doctorate,Country 24,Self-Employed,>50K,Occupation 23
47,Female,Hispanic,Divorced,Bachelor's,Country 6,Government,<=50K,Occupation 28
88,Female,White,Separated,High School,Country 41,Private,<=50K,Occupation 39
78,Female,Asian,Partnered,High School,Country 37,Unemployed,>50K,Occupation 24
26,Female,Hispanic,Other,None,Country 28,Retired,<=50K,Occupation 23
39,Female,Hispanic,Divorced,None,Country 20,Government,<=50K,Occupation 33
34,Male,Black,Single,High School,Country 15,Other,>50K,Occupation 28
73,Female,Asian,Partnered,Some College,Country 33,Other,>50K,Occupation 34
43,Male,White,Other,High School,Country 15,Retired,>50K,Occupation 38
60,Female,White,Separated,None,Country 18,Unemployed,>50K,Occupation 24
75,Female,Other,Separated,Doctorate,Country 8,Student,<=50K,Occupation 11
42,Female,Hispanic,Separated,Bachelor's,Country 36,Self-Employed,<=50K,Occupation 3
66,Male,White,Partnered,Some College,Country 21,Self-Employed,<=50K,Occupation 20
30,Female,Asian,Widowed,None,Country 4,Self-Employed,>50K,Occupation 1
73,Female,Other,Single,Some College,Country 41,Unemployed,<=50K,Occupation 34
42,Female,White,Widowed,Associate,Country 7,Self-Employed,<=50K,Occupation 8
74,Female,Hispanic,Divorced,Doctorate,Country 9,Unemployed,>50K,Occupation 41
49,Male,Black,Single,Master's,Country 29,Other,>50K,Occupation 7
38,Female,White,Married,None,Country 33,Other,>50K,Occupation 4
46,Female,Other,Married,None,Country 15,Retired,>50K,Occupation 9
34,Female,Hispanic,Separated,Bachelor's,Country 6,Retired,>50K,Occupation 15
85,Female,Black,Widowed,None,Country 10,Student,<=50K,Occupation 6
24,Male,White,Other,High School,Country 38,Unemployed,>50K,Occupation 6
21,Male,Hispanic,Separated,Associate,Country 3,Self-Employed,>50K,Occupation 14
18,Male,Other,Single,High School,Country 22,Student,<=50K,Occupation 32
62,Male,Hispanic,Partnered,None,Country 20,Private,>50K,Occupation 16
54,Female,Other,Partnered,Master's,Country 22,Student,>50K,Occupation 13
41,Male,Hispanic,Widowed,Associate,Country 23,Other,<=50K,Occupation 27
32,Male,White,Single,Bachelor's,Country 37,Private,<=50K,Occupation 12
74,Female,Asian,Other,Master's,Country 9,Government,<=50K,Occupation 15
85,Male,White,Widowed,High School,Country 37,Private,<=50K,Occupation 10
39,Female,Asian,Widowed,Doctorate,Country 12,Self-Employed,>50K,Occupation 17
68,Male,Other,Divorced,Associate,Country 24,Retired,<=50K,Occupation 6
55,Male,Black,Single,Associate,Country 32,Government,>50K,Occupation 19
63,Male,Asian,Married,None,Country 40,Self-Employed,<=50K,Occupation 7
25,Female,Asian,Partnered,Some College,Country 31,Retired,>50K,Occupation 27
72,Male,White,Other,Master's,Country 30,Self-Employed,<=50K,Occupation 12
53,Male,Hispanic,Partnered,Some College,Country 19,Private,<=50K,Occupation 13
50,Male,Asian,Partnered,Master's,Country 20,Government,<=50K,Occupation 13
89,Female,White,Single,Some College,Country 19,Government,>50K,Occupation 36
25,Female,White,Separated,Master's,Country 38,Self-Employed,>50K,Occupation 7
44,Male,Black,Other,Doctorate,Country 36,Other,<=50K,Occupation 5
62,Female,Hispanic,Single,None,Country 24,Student,>50K,Occupation 39
83,Male,Hispanic,Divorced,Doctorate,Country 5,Unemployed,>50K,Occupation 34
68,Male,Hispanic,Divorced,None,Country 23,Student,<=50K,Occupation 5
52,Female,Black,Married,Bachelor's,Country 20,Private,<=50K,Occupation 1
28,Male,Black,Widowed,High School,Country 8,Self-Employed,<=50K,Occupation 29
42,Female,Other,Partnered,Bachelor's,Country 41,Government,<=50K,Occupation 8
80,Female,Black,Other,High School,Country 23,Student,<=50K,Occupation 27
45,Female,Black,Widowed,None,Country 18,Government,<=50K,Occupation 5
47,Male,Asian,Widowed,None,Country 12,Self-Employed,<=50K,Occupation 32
29,Female,Other,Other,Associate,Country 15,Private,<=50K,Occupation 39
81,Female,Black,Widowed,Associate,Country 21,Private,>50K,Occupation 13
80,Male,Hispanic,Separated,Bachelor's,Country 13,Other,<=50K,Occupation 38
48,Male,Other,Widowed,None,Country 7,Retired,>50K,Occupation 34
24,Female,White,Divorced,Associate,Country 13,Other,>50K,Occupation 16
76,Male,Asian,Single,Some College,Country 8,Private,>50K,Occupation 11
81,Male,Hispanic,Other,Some College,Country 23,Unemployed,>50K,Occupation 1
85,Female,Black,Single,None,Country 10,Unemployed,>50K,Occupation 35
72,Male,Hispanic,Divorced,Bachelor's,Country 29,Private,>50K,Occupation 21
30,Female,Asian,Widowed,Doctorate,Country 17,Government,<=50K,Occupation 14
80,Female,Asian,Other,Master's,Country 24,Self-Employed,<=50K,Occupation 4
75,Female,Black,Married,Doctorate,Country 23,Private,>50K,Occupation 40
43,Female,Other,Widowed,Master's,Country 26,Retired,<=50K,Occupation 10
23,Female,Other,Single,Some College,Country 26,Unemployed,>50K,Occupation 36
29,Male,Other,Partnered,Bachelor's,Country 10,Retired,<=50K,Occupation 25
89,Male,Black,Divorced,Master's,Country 12,Unemployed,>50K,Occupation 27
80,Female,Other,Widowed,Master's,Country 34,Self-Employed,<=50K,Occupation 22
66,Female,Hispanic,Single,Master's,Country 26,Retired,<=50K,Occupation 7
68,Female,Asian,Other,Associate,Country 2,Government,>50K,Occupation 40
66,Female,Hispanic,Married,None,Country 31,Private,>50K,Occupation 18
65,Female,Other,Married,Master's,Country 33,Student,>50K,Occupation 5
86,Male,Asian,Other,Bachelor's,Country 4,Student,<=50K,Occupation 39
50,Male,Hispanic,Single,Associate,Country 26,Self-Employed,<=50K,Occupation 9
61,Female,White,Separated,High School,Country 21,Other,>50K,Occupation 2
74,Male,Black,Widowed,Bachelor's,Country 20,Student,<=50K,Occupation 22
68,Male,Hispanic,Widowed,Associate,Country 18,Government,>50K,Occupation 36
81,Female,Black,Partnered,Bachelor's,Country 17,Other,<=50K,Occupation 13
49,Female,Black,Married,Bachelor's,Country 30,Unemployed,<=50K,Occupation 1
53,Female,White,Separated,Some College,Country 19,Retired,<=50K,Occupation 1
43,Male,Black,Other,None,Country 5,Student,>50K,Occupation 1
37,Male,White,Single,None,Country 19,Student,>50K,Occupation 7
56,Male,Black,Married,Doctorate,Country 31,Self-Employed,>50K,Occupation 9
59,Male,Black,Partnered,Some College,Country 35,Private,<=50K,Occupation 30
60,Female,White,Partnered,Bachelor's,Country 33,Retired,>50K,Occupation 23
40,Male,Hispanic,Separated,Bachelor's,Country 12,Self-Employed,<=50K,Occupation 5
25,Female,Hispanic,Single,Some College,Country 17,Government,>50K,Occupation 9
44,Female,Black,Single,Some College,Country 14,Retired,<=50K,Occupation 6
36,Female,Hispanic,Partnered,None,Country 16,Self-Employed,<=50K,Occupation 26
45,Female,Asian,Divorced,Associate,Country 2,Student,>50K,Occupation 21
81,Female,Asian,Married,Bachelor's,Country 21,Retired,>50K,Occupation 23
22,Male,Hispanic,Other,Associate,Country 36,Student,<=50K,Occupation 27
67,Female,Other,Single,Bachelor's,Country 7,Unemployed,>50K,Occupation 18
71,Female,Hispanic,Married,None,Country 2,Student,<=50K,Occupation 34
44,Male,White,Separated,Associate,Country 17,Other,<=50K,Occupation 11
29,Male,Asian,Married,Some College,Country 17,Other,<=50K,Occupation 6
72,Male,Black,Partnered,Associate,Country 12,Other,<=50K,Occupation 37
48,Male,Other,Other,Bachelor's,Country 15,Government,<=50K,Occupation 6
79,Female,Hispanic,Partnered,Master's,Country 33,Retired,>50K,Occupation 17
70,Male,Other,Separated,None,Country 38,Student,>50K,Occupation 14
78,Female,Other,Partnered,Master's,Country 12,Other,<=50K,Occupation 6
23,Male,Other,Single,Some College,Country 30,Government,<=50K,Occupation 20
73,Female,Other,Widowed,Doctorate,Country 24,Unemployed,<=50K,Occupation 18
45,Male,Asian,Partnered,High School,Country 25,Unemployed,<=50K,Occupation 23
23,Female,White,Other,Master's,Country 41,Government,<=50K,Occupation 12
43,Female,Hispanic,Partnered,Doctorate,Country 10,Self-Employed,>50K,Occupation 20
60,Male,Asian,Divorced,Master's,Country 32,Unemployed,<=50K,Occupation 23
73,Female,Black,Married,Doctorate,Country 34,Student,<=50K,Occupation 4
55,Male,Asian,Separated,Associate,Country 19,Retired,>50K,Occupation 19
76,Female,Asian,Divorced,Master's,Country 29,Unemployed,>50K,Occupation 38
63,Male,White,Divorced,None,Country 34,Private,>50K,Occupation 13
76,Female,Black,Widowed,High School,Country 18,Private,<=50K,Occupation 35
54,Female,Black,Single,Some College,Country 23,Other,>50K,Occupation 40
31,Female,Hispanic,Single,None,Country 3,Government,<=50K,Occupation 17
23,Female,Black,Separated,High School,Country 28,Unemployed,>50K,Occupation 37
39,Male,Other,Other,High School,Country 15,Other,<=50K,Occupation 26
26,Female,Other,Divorced,Bachelor's,Country 31,Self-Employed,<=50K,Occupation 19
89,Female,Asian,Widowed,Associate,Country 26,Government,>50K,Occupation 1
67,Male,Asian,Partnered,Associate,Country 36,Government,<=50K,Occupation 31
51,Female,Other,Single,Some College,Country 40,Private,>50K,Occupation 17
28,Male,Other,Widowed,Doctorate,Country 24,Retired,>50K,Occupation 34
58,Female,Other,Widowed,Bachelor's,Country 14,Unemployed,<=50K,Occupation 41
32,Female,White,Other,Master's,Country 1,Private,<=50K,Occupation 1
37,Female,Hispanic,Partnered,Some College,Country 31,Unemployed,>50K,Occupation 31
76,Female,Other,Divorced,High School,Country 31,Other,<=50K,Occupation 14
49,Male,Black,Married,Associate,Country 16,Self-Employed,>50K,Occupation 31
48,Male,Other,Single,Associate,Country 3,Other,<=50K,Occupation 2
84,Male,Black,Divorced,Bachelor's,Country 18,Self-Employed,>50K,Occupation 9
87,Female,Black,Partnered,Bachelor's,Country 19,Self-Employed,<=50K,Occupation 14
32,Female,Other,Other,Bachelor's,Country 15,Private,>50K,Occupation 30
37,Female,White,Single,Doctorate,Country 9,Student,>50K,Occupation 25
76,Female,Asian,Single,Master's,Country 33,Self-Employed,<=50K,Occupation 20
31,Male,Black,Single,None,Country 18,Retired,<=50K,Occupation 40
73,Male,Hispanic,Partnered,High School,Country 18,Retired,<=50K,Occupation 1
34,Female,Black,Widowed,High School,Country 28,Government,<=50K,Occupation 29
84,Female,Black,Divorced,Associate,Country 10,Private,>50K,Occupation 41
37,Male,Asian,Other,Associate,Country 11,Government,>50K,Occupation 1
68,Male,Hispanic,Widowed,Master's,Country 10,Self-Employed,>50K,Occupation 15
29,Male,Asian,Separated,Bachelor's,Country 2,Self-Employed,>50K,Occupation 17
73,Male,Hispanic,Divorced,Master's,Country 9,Self-Employed,<=50K,Occupation 36
89,Female,Black,Divorced,Some College,Country 25,Retired,>50K,Occupation 37
58,Male,Other,Separated,None,Country 36,Private,>50K,Occupation 23
83,Male,Asian,Married,Associate,Country 16,Unemployed,<=50K,Occupation 13
26,Male,Asian,Divorced,High School,Country 14,Retired,>50K,Occupation 35
50,Female,Hispanic,Separated,Bachelor's,Country 24,Private,>50K,Occupation 2
48,Female,Asian,Single,Some College,Country 8,Student,>50K,Occupation 37
64,Female,Hispanic,Single,None,Country 38,Other,<=50K,Occupation 24
45,Female,Asian,Married,None,Country 6,Private,>50K,Occupation 25
28,Female,Other,Separated,Associate,Country 37,Private,<=50K,Occupation 14
52,Male,Black,Widowed,Bachelor's,Country 4,Student,>50K,Occupation 22
81,Male,Hispanic,Widowed,Some College,Country 20,Self-Employed,>50K,Occupation 20
36,Female,White,Widowed,None,Country 10,Government,>50K,Occupation 11
83,Male,Hispanic,Widowed,None,Country 25,Other,<=50K,Occupation 15
34,Male,Asian,Partnered,Associate,Country 6,Self-Employed,>50K,Occupation 17
58,Male,White,Divorced,Bachelor's,Country 3,Retired,<=50K,Occupation 25
22,Female,Asian,Partnered,Bachelor's,Country 38,Government,<=50K,Occupation 18
68,Male,Black,Separated,Bachelor's,Country 20,Private,>50K,Occupation 40
28,Male,Hispanic,Other,Doctorate,Country 16,Student,<=50K,Occupation 5
64,Female,Black,Single,Some College,Country 13,Self-Employed,>50K,Occupation 25
80,Female,White,Single,Bachelor's,Country 32,Private,<=50K,Occupation 20
51,Male,Hispanic,Divorced,Bachelor's,Country 33,Student,>50K,Occupation 36
80,Female,White,Divorced,Bachelor's,Country 11,Student,>50K,Occupation 25
45,Male,Other,Married,Doctorate,Country 30,Government,>50K,Occupation 14
89,Female,White,Partnered,Associate,Country 12,Student,<=50K,Occupation 4
22,Male,White,Married,Doctorate,Country 3,Self-Employed,<=50K,Occupation 27
40,Female,Black,Widowed,None,Country 32,Retired,<=50K,Occupation 36
67,Female,Hispanic,Separated,High School,Country 7,Unemployed,>50K,Occupation 26
71,Male,Hispanic,Married,Some College,Country 38,Private,<=50K,Occupation 11
60,Female,Other,Married,High School,Country 38,Self-Employed,>50K,Occupation 21
38,Female,White,Partnered,Some College,Country 15,Self-Employed,<=50K,Occupation 23
62,Female,Hispanic,Separated,Master's,Country 17,Other,<=50K,Occupation 19
23,Female,Black,Other,Master's,Country 8,Government,<=50K,Occupation 36
69,Female,Other,Partnered,High School,Country 35,Retired,<=50K,Occupation 1
77,Female,Asian,Partnered,None,Country 9,Government,<=50K,Occupation 3
19,Female,Other,Married,High School,Country 7,Government,<=50K,Occupation 4
32,Male,White,Separated,Some College,Country 41,Self-Employed,>50K,Occupation 33
25,Male,Other,Single,None,Country 35,Student,<=50K,Occupation 12
20,Male,Hispanic,Single,Associate,Country 25,Private,>50K,Occupation 38
87,Male,Hispanic,Divorced,High School,Country 4,Student,<=50K,Occupation 39
64,Male,Black,Separated,Doctorate,Country 9,Other,>50K,Occupation 27
67,Female,Asian,Married,Bachelor's,Country 37,Retired,>50K,Occupation 4
25,Female,Asian,Separated,Master's,Country 35,Private,<=50K,Occupation 40
21,Male,White,Divorced,Associate,Country 20,Unemployed,>50K,Occupation 21
44,Male,White,Widowed,Doctorate,Country 32,Retired,<=50K,Occupation 14
